ID,CreatureHealthMod,PlayerHealthMod,CreatureAutoAttackDPSMod,CreatureArmorMod,PlayerManaMod,PlayerPrimaryStatMod,PlayerSecondaryStatMod,ArmorConstantMod,CreatureSpellDamageMod
1,0.80000001192,1,0.92500001192,0.80000001192,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1
5,1.03199994564,0.99900001287,0.99900001287,1,1,1.01199996471,0.94499999285,0.97299998999,0.99900001287
6,1.09700000286,1.02300000191,1.02300000191,1,1,1.05099999905,0.97000002861,1.01400005817,1.02300000191
7,1.12199997902,1.02999997139,1.02999997139,1,1,1.06799995899,0.95999997854,1.01900005341,1.02999997139
8,1.17299997807,1.04499995708,1.04499995708,1,1,1.10199999809,0.93999999762,1.02900004387,1.04499995708
9,1.19900000095,1.0529999733,1.0529999733,1,1,1.11899995804,0.93000000715,1.0340000391,1.0529999733
10,1.25,1.06799995899,1.06799995899,1,1,1.15299999714,0.91000002623,1.04400002956,1.06799995899
11,1.35699999332,1.16100001335,1.16100001335,1,1,1.21000003815,0.95899999142,1.07899999619,1.16100001335
12,1.10000002384,1,0.88499999046,1,1,1,1,1,0.88499999046
13,1.29999995232,1,1,1,1,1,1,1,1
14,1.08599996567,1,1.21700000763,1,1,1,1,1,1.21700000763
15,0.79400002956,1,0.70899999142,1,1,1,1,1,0.70899999142
16,0.92000001669,1,0.8220000267,1,1,1,1,1,0.8220000267
18,2.31599998474,1,1.46700000763,1,1,1,1,1,1.17299997807
119,0.44999998808,0.44999998808,0.44999998808,1,1,1,1,1,0.44999998808
120,1,1,0.71399998665,1,1,1,1,1,0.71399998665
121,1.14999997616,1,0.94999998808,1,1,1,1,1,1.10000002384
122,0.72500002384,1,0.72500002384,1,1,1,1,1,0.75
123,1.72500002384,1,1.0909999609,1,1,1,1,1,1.45000004768
125,0.55000001192,0.55000001192,0.55000001192,1,1,1,1,1,0.55000001192
126,0.75,0.75,0.75,1,1,1,1,1,0.75
128,1.45899999142,1.23699998856,1.23699998856,1,1,1.25300002098,1.01699995995,1.11199998856,1.23699998856
129,0.23899999261,0.20700000226,0.22699999809,1,1,1,1,1,0.23190000653
130,0.55000001192,1,0.69999998808,1,1,1,1,1,1
131,0.23899999261,0.18600000441,0.20389999449,1,1,1,1,1,0.20839999616
132,0.02999999933,0.31999999285,0.03510000184,1,1,1,1,1,0.03584999964
133,0.57999998331,1,0.64999997616,1,1,1,1,1,0.75
134,1.37000000477,1.16100001335,1.16100001335,1,1,1.21000003815,0.95899999142,1.07899999619,1.16100001335
137,0.69999998808,0.57999998331,0.57999998331,1,1,1,1,1,0.57999998331
140,1.14800000191,1.0379999876,1.0379999876,1,1,1.08500003815,0.94999998808,1.02400004864,1.0379999876
142,1,1,0.85000002384,1,1,1,1,1,0.85000002384
143,1.55499994755,1.31799995899,1.31799995899,1,1,1.29799997807,1.0759999752,1.14499998093,1.31799995899
147,2.65199995041,2.47499990463,2.47499990463,1,1,1.79600000381,1.53100001812,1.64199995995,2.47499990463
148,1.29999995232,1,0.9279999733,1,1,1,1,1,0.9279999733
149,3.05100011826,2.84800004959,2.84800004959,1,1,2.01399993896,1.625,1.8220000267,2.84800004959
150,3.51900005341,3.28500008583,3.28500008583,1,1,2.26399993896,1.71899998188,2.02900004387,3.28500008583
151,1.66700005531,1.41100001335,1.41100001335,1,1,1.35399997234,1.13499999046,1.18700003624,1.41100001335
152,1.88199996948,1.59500002861,1.59500002861,1,1,1.48699998856,1.19299995899,1.28699994087,1.59500002861
154,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
155,1.04999995232,1,1,1,1,1,1,1,1
157,1.22399997711,1.05999994278,1.05999994278,1,1,1.13600003719,0.92000001669,1.03900003433,1.05999994278
158,2.132999897,1.80799996853,1.80799996853,1,1,1.63999998569,1.25199997425,1.40199995041,1.80799996853
165,1,1.04999995232,1,1,1,1.04999995232,1.04999995232,1,1
166,1.21000003815,1,1.20000004768,1.21000003815,1,1,1,1,1.20000004768
167,1.09000003338,1.09000003338,1.09000003338,1,1,1,1,1,1.09000003338
168,1,1,1.14999997616,1,1,1,1,1,1.14999997616
169,1,1,0.80000001192,1,1,1,1,1,0.80000001192
171,1.65100002289,1.41100001335,1.41100001335,1,1,1.35399997234,1.13499999046,1.18700003624,1.41100001335
174,0.70200002193,0.73799997568,0.73799997568,0.64999997616,1,0.77200001478,0.71100002527,0.61500000954,0.73799997568
175,0.80500000715,0.82400000095,0.82400000095,1,1,0.85399997234,0.81699997187,0.74599999189,0.82400000095
176,0.93400001526,0.9279999733,0.9279999733,1,1,0.95300000906,0.93800002337,0.95999997854,0.9279999733
177,1.12800002098,1.15799999237,1.15799999237,1,1,1.07700002193,1.14300000668,1.06500005722,1.15799999237
178,1.27499997616,1.30999994278,1.30999994278,1,1,1.16400003433,1.28499996662,1.13699996471,1.30999994278
179,1.44599997997,1.48599994183,1.48599994183,1,1,1.26199996471,1.4279999733,1.22000002861,1.48599994183
180,1,1.05999994278,1.16600000858,1,1,1,1,1,1.05999994278
182,0.5,0.5,0.5,1,1,1,1,1,0.5
183,0.61000001431,1,0.82999998331,1,1,1,1,1,0.82999998331
184,0.91000002623,1,0.93000000715,1,1,1,1,1,0.93000000715
185,1.03999996185,1,1.02999997139,1,1,1,1,1,1.02999997139
186,1.22000002861,1,1.12999999523,1,1,1,1,1,1.12999999523
187,0.89999997616,0.89999997616,0.89999997616,1,1,1,1,1,0.89999997616
188,0.80000001192,0.80000001192,0.80000001192,1,1,1,1,1,0.80000001192
189,1.64400005341,1.69000005722,1.69000005722,1,1,1.37300002575,1.57000005245,1.31299996376,1.69000005722
190,1.87300002575,1.92599999905,1.92599999905,1,1,1.49899995327,1.71300005913,1.41700005531,1.92599999905
191,1,1.03999996185,1.03999996185,1,1,1,1,1,1.03999996185
192,1.20399999619,1.23800003529,1.23800003529,1,1,1.12300002575,1.21899998188,1.10300004482,1.23800003529
193,1.04999995232,1,1.04999995232,1,1,1,1,1,1
194,1.24890005589,1,1.5,1,1,1,1,1,1.5
195,3.66300010681,1,1,1,1,1,1,1,2.09999990463
196,1.5490000248,1.59000003338,1.59000003338,1,1,1.32099997997,1.5039999485,1.26800000668,1.59000003338
197,0.84909999371,1,1,1,1,1,1,1,1
198,2.13899993896,2.20000004768,2.20000004768,1,1,1.63999998569,1.85500001907,1.53600001335,2.20000004768
199,2.44899988174,2.51799988747,2.51799988747,1,1,1.7990000248,1.99800002575,1.66900002956,2.51799988747
202,1,1,1.04999995232,1,1,1,1,1,1
206,2.80800008774,2.88800001144,2.88800001144,1,1,1.97899997234,2.1400001049,1.82000005245,2.88800001144
207,3.22699999809,3.31900000572,3.31900000572,1,1,2.18300008774,2.28299999237,1.99000000954,3.31900000572
208,0.89300000668,0.98199999332,0.98199999332,1,1,0.9509999752,0.80800002813,0.90600001812,0.98199999332
209,1.03699994087,1.00800001621,1.00800001621,1,1,1.02300000191,1.04100000858,1.02100002766,1.00800001621
211,1.16700005531,1.11899995804,1.11899995804,1,1,1.10399997234,1.17299997807,1.09000003338,1.11899995804
212,1.21099996567,1.16199994087,1.16199994087,1,1,1.13100004196,1.21300005913,1.11199998856,1.16199994087
213,1.36800003052,1.30900001526,1.30900001526,1,1,1.22599995136,1.34500002861,1.19200003147,1.30900001526
214,1.54999995232,1.48800003529,1.48800003529,1,1,1.33299994469,1.47699999809,1.28199994564,1.48800003529
215,1.76100003719,1.68599998951,1.68599998951,1,1,1.45399999619,1.60899996758,1.38399994373,1.68599998951
217,1.14999997616,1,1,1,1,1,1,1,1
219,1.09500002861,1,1,1,1,1,1,1,1
223,1.08000004292,1,1.03999996185,1,1,1,1,1,1.03999996185
224,0.61000001431,1,0.93000000715,1,1,1,1,1,0.93000000715
225,0.61000001431,1,1,1,1,1,1,1,1
226,1.08000004292,1,0.89999997616,1,1,1,1,1,0.89999997616
227,2.00500011444,1.91999995708,1.91999995708,1,1,1.59000003338,1.74100005627,1.49800002575,1.91999995708
228,2.28800010681,2.19099998474,2.19099998474,1,1,1.74399995804,1.87300002575,1.62800002098,2.19099998474
229,2.61599993706,2.50600004196,2.50600004196,1,1,1.91799998283,2.00500011444,1.77400004864,2.50600004196
230,2.99699997902,2.87199997902,2.87199997902,1,1,2.11500000954,2.13700008392,1.93900001049,2.87199997902
231,3.44000005722,3.29600000381,3.29600000381,1,1,2.33599996567,2.26900005341,2.12599992752,3.29600000381
232,3.95499992371,3.79099988937,3.79099988937,1,1,2.58599996567,2.40100002289,2.33599996567,3.79099988937
233,0.88499999046,1,0.88499999046,1,1,1,1,1,0.88499999046
234,1.49199998379,1.42499995232,1.42499995232,1,1,1.2990000248,1.43700003624,1.25300002098,1.42499995232
235,3.29999995232,3.29999995232,3.29999995232,1,1,1,1,1,3.29999995232
237,1.41999995708,1.40799999237,1.40799999237,1,1,1.26499998569,1.36199998856,1.22300004959,1.40799999237
238,1.25999999046,1.24899995327,1.24899995327,1,1,1.16600000858,1.24100005627,1.13900005817,1.24899995327
241,1.15100002289,1.14199995995,1.14199995995,1,1,1.09700000286,1.14900004864,1.08200001717,1.14209997654
242,0.97399997711,0.98699998856,0.98699998856,1,1,0.97799998522,0.98799997568,0.9810000062,0.98699998856
243,0.82899999619,0.9319999814,0.9319999814,1,1,0.85199999809,0.91600000858,0.70800000429,0.9319999814
244,1.92599999905,1.85000002384,1.85000002384,1,1,1.54700005054,1.7009999752,1.4620000124,1.85000002384
245,1.10000002384,1,1.04999995232,1,1,1,1,1,1.04999995232
246,2,1,2,1,1,1,1,1,2
248,2.50999999046,2.39899992943,2.39899992943,1,1,1.86300003529,1.96500003338,1.72699999809,2.39899992943
249,2.19600009918,2.09899997711,2.09899997711,1,1,1.69500005245,1.83299994469,1.5870000124,2.09899997711
250,1.14999997616,1,1.07500004768,1,1,1,1,1,1.07500004768
251,4.5529999733,4.367000103,4.367000103,1,1,2.86899995804,2.53299999237,2.57399988174,4.367000103
252,3.95499992371,3.76699995995,3.76699995995,1,1,2.58599996567,2.40100002289,2.33599996567,3.76699995995
253,3.29699993134,3.16799998283,3.16799998283,1,1,2.2650001049,2.22900009155,2.06599998474,3.16799998283
254,5.24900007248,5.03499984741,5.03499984741,1,1,3.18700003624,2.66599988937,2.84200000763,5.03499984741
