Position_0,Position_1,Position_2,ID,WarbandSceneID,SlotType,Rotation,Scale,Field_11_0_0_54210_004,Field_11_0_0_54210_005,Field_12_0_0_63534_008,SlotID,Field_12_0_0_63534_010
-2981.8200683594,457.35000610352,452.82598876953,1,1,0,108,1,0,31,0,0,0
-2979.5500488281,454.73400878906,452.73001098633,3,1,1,115,1,0,7,0,0,0
-2984.3200683594,456.63900756836,452.8450012207,4,1,0,85,1,0,31,0,1,0
-2982.9499511719,451.9460144043,452.79699707031,5,1,1,100,1,0,7,0,1,0
-2986.6298828125,457.6369934082,452.94400024414,6,1,0,50,1,0,31,0,2,0
-2986.7600097656,452.16198730469,452.93600463867,7,1,1,62,1,0,7,0,2,0
-2987.669921875,459.73599243164,453.07998657227,8,1,0,32,1,0,31,0,3,0
-2990.2299804688,458.94500732422,453.10198974609,9,1,1,32,1,0,7,0,3,0
194.24299621582,2500.9799804688,91.25620269775,40,5,0,199,1,0,31,0,0,0
197.12800598145,2502.919921875,91.25199890137,41,5,1,202,1,0,0,0,0,0
194.41799926758,2498.3601074219,91.25379943848,42,5,0,188.5,1,0,31,0,1,0
198.22900390625,2499.330078125,91.24859619141,43,5,1,186.5,1,0,0,0,1,0
193.70100402832,2495.8100585938,91.24749755859,44,5,0,155.5,1,0,31,0,2,0
197.79200744629,2495.8400878906,91.29740142822,45,5,1,161,1,0,0,0,2,0
191.85099792481,2493.7299804688,91.29180145264,46,5,0,130.5,1,0,31,0,3,0
195.625,2492.8898925781,91.23229980469,47,5,1,144.5,1,0,0,0,3,0
-3035.390625,489.27432250977,407.18899536133,48,4,0,190.5,1,0,31,0,0,0
-3029.1298828125,488.32501220703,407.09399414063,49,4,1,175,1,0,0,0,0,0
-3035.453125,486.11978149414,407.2080078125,50,4,0,151.5,1,0,31,0,1,0
-3029.4899902344,484.75,407.45401000977,51,4,1,151,1,0,0,0,1,0
-3037.3500976562,483.77301025391,407.30700683594,52,4,0,111,1,0,31,0,2,0
-3033.2299804688,481.62701416016,407.42001342773,53,4,1,120,1,0,0,0,2,0
-3040.9499511719,484.61999511719,407.25299072266,54,4,0,80.98999786377,1,0,31,0,3,0
-3038.6298828125,481.13500976563,407.43200683594,55,4,1,80,1,0,0,0,3,0
-2816.4699707031,387.04998779297,79.61280059814,56,7,0,65,1,0,31,0,0,0
-2816.919921875,383.65100097656,79.67880249023,57,7,1,65,1,0,0,0,0,0
-2818.8601074219,388.56799316406,79.59459686279,58,7,0,41,1,0,31,0,1,0
